Attributt;Språk;AttributtVerdi;"Gammel attributtverdi";Sort
Aircraft;Norsk;AW139;AW139;1
Aircraft;Norsk;AW169;AW169;1
Aircraft;Norsk;AW189;AW189;1
Aircraft;Norsk;"Bell 412";"Bell 412";1
Aircraft;Norsk;F-16;F-16;1
Aircraft;Norsk;F-18;F-18;1
Aircraft;Norsk;F-22;F-22;1
Aircraft;Norsk;F-35;F-35;1
Aircraft;Norsk;H135;H135;1
Aircraft;Norsk;H145;H145;1
Aircraft;Norsk;H175;H175;1
Aircraft;Norsk;S-70;S-70;1
Aircraft;Norsk;S-92;S-92;1
Aircraft;Norsk;UH-60M;UH-60M;1
Aircraft;Norsk;UH-60R;UH-60R;1
Antall;Norsk;"1 STK";"1 STK";1
Antall;Norsk;"2 skuffer";"2 skuffer";2
Antall;Norsk;"2+1 skuffer";"2+1 skuffer";2
Antall;Norsk;"25 STK";"25 STK";25
Antall;Norsk;"3 skuffer";"3 skuffer";3
Antall;Norsk;"4 skuffer";"4 skuffer";4
Antall;Norsk;"4 stk lave + 2 stk høye";"4 stk lave + 2 stk høye";1
Antall;Norsk;"5 STK";"5 STK";5
Antall;Norsk;"6 stk lave + 1 stk høy";"6 stk lave + 1 stk høy";1
Bakkbredde;Norsk;100mm;100mm;100
Bakkbredde;Norsk;115mm;115mm;115
Bakkbredde;Norsk;120mm;120mm;120
Bakkbredde;Norsk;125mm;125mm;125
Bakkbredde;Norsk;135mm;135mm;135
Bakkbredde;Norsk;140mm;140mm;140
Bakkbredde;Norsk;150mm;150mm;150
Bakkbredde;Norsk;160mm;160mm;160
Bakkbredde;Norsk;180mm;180mm;180
Batterikapasitet;Norsk;12,0Ah;12,0Ah;120
Batterikapasitet;Norsk;2,0Ah;2,0Ah;10
Batterikapasitet;Norsk;2,5Ah;2,5Ah;15
Batterikapasitet;Norsk;3,0Ah;3,0Ah;20
Batterikapasitet;Norsk;4,0Ah;4,0Ah;40
Batterikapasitet;Norsk;5,0Ah;5,0Ah;50
Batterikapasitet;Norsk;5,5Ah;5,5Ah;55
Batterikapasitet;Norsk;6,0Ah;6,0Ah;60
Batterikapasitet;Norsk;8,0Ah;8,0Ah;80
Batterikapasitet;Norsk;"Uten batteri";"Uten batteri";1
Batterikapasitet;Norsk;"Uten batteri inkl. koffert";"Uten batteri inkl. koffert";5
Bladbredde;Norsk;10mm;10mm;1
Bladbredde;Norsk;13mm;13mm;130
Bladbredde;Norsk;19mm;19mm;190
Bladbredde;Norsk;25mm;25mm;250
Bladbredde;Norsk;"30 mm";"30 mm";300
Bladbredde;Norsk;32mm;32mm;320
Bladbredde;Norsk;"40 mm";"40 mm";400
Bladbredde;Norsk;"50 mm";"50 mm";500
Bladbredde;Norsk;"60 mm";"60 mm";600
Bladbredde;Norsk;6mm;6mm;60
